1er jour de la semaine,Semaine,Département Code,Département,Classe d'âge,Taux de passages aux urgences pour allergie,Taux d'hospitalisations après passages aux urgences pour allergie,Taux d'actes médicaux SOS médecins pour allergie,Région Code,Région
2020-03-30,2020-S14,68,Haut-Rhin,65 ans ou plus,163.93442623,0.0,0.0,44,Grand Est
2020-04-06,2020-S15,68,Haut-Rhin,Tous âges,509.04977376,175.13134851,5121.9512195,44,Grand Est
2020-04-13,2020-S16,68,Haut-Rhin,00-14 ans,1628.6644951,1612.9032258,6250.0,44,Grand Est
2020-04-13,2020-S16,68,Haut-Rhin,15-64 ans,954.40084836,520.83333333,3571.4285714,44,Grand Est
2020-04-20,2020-S17,68,Haut-Rhin,00-14 ans,0.0,0.0,8695.6521739,44,Grand Est
2020-04-27,2020-S18,68,Haut-Rhin,00-14 ans,1457.7259475,1333.3333333,4580.1526718,44,Grand Est
2020-04-27,2020-S18,68,Haut-Rhin,15-64 ans,695.8250497,534.75935829,3571.4285714,44,Grand Est
2020-05-11,2020-S20,68,Haut-Rhin,00-14 ans,882.35294118,0.0,4347.826087,44,Grand Est
2020-05-11,2020-S20,68,Haut-Rhin,Tous âges,774.81840194,181.48820327,2245.2504318,44,Grand Est
2020-05-18,2020-S21,68,Haut-Rhin,Tous âges,1034.340091,346.62045061,3960.3960396,44,Grand Est
2020-06-01,2020-S23,68,Haut-Rhin,00-14 ans,1315.7894737,0.0,4032.2580645,44,Grand Est
2020-06-01,2020-S23,68,Haut-Rhin,65 ans ou plus,583.09037901,689.65517241,0.0,44,Grand Est
2020-06-08,2020-S24,68,Haut-Rhin,00-14 ans,1473.6842105,2197.8021978,1538.4615385,44,Grand Est
2020-06-08,2020-S24,68,Haut-Rhin,Tous âges,894.85458613,613.49693252,1468.4287812,44,Grand Est
2020-08-31,2020-S36,68,Haut-Rhin,65 ans ou plus,406.50406504,606.06060606,909.09090909,44,Grand Est
2020-09-14,2020-S38,68,Haut-Rhin,00-14 ans,1451.1873351,0.0,1984.1269841,44,Grand Est
2020-09-21,2020-S39,68,Haut-Rhin,65 ans ou plus,578.03468208,0.0,1098.9010989,44,Grand Est
2020-09-21,2020-S39,68,Haut-Rhin,Tous âges,1190.0826446,471.69811321,2418.2076814,44,Grand Est
2020-09-28,2020-S40,68,Haut-Rhin,Tous âges,799.16608756,446.42857143,1253.4818942,44,Grand Est
2020-10-12,2020-S42,68,Haut-Rhin,00-14 ans,1419.5583596,0.0,2620.0873362,44,Grand Est
2020-10-12,2020-S42,68,Haut-Rhin,65 ans ou plus,414.93775934,0.0,2678.5714286,44,Grand Est
2020-10-12,2020-S42,68,Haut-Rhin,Tous âges,1018.258427,327.33224223,1721.8543046,44,Grand Est
2020-10-26,2020-S44,68,Haut-Rhin,00-14 ans,2033.271719,0.0,546.44808743,44,Grand Est
2020-10-26,2020-S44,68,Haut-Rhin,Tous âges,895.28999611,328.94736842,423.72881356,44,Grand Est
2020-11-09,2020-S46,68,Haut-Rhin,15-64 ans,801.92461909,460.82949309,659.34065934,44,Grand Est
2020-11-09,2020-S46,68,Haut-Rhin,65 ans ou plus,154.08320493,0.0,0.0,44,Grand Est
2021-02-01,2021-S05,68,Haut-Rhin,15-64 ans,468.85465506,862.06896552,1170.9601874,44,Grand Est
2021-02-01,2021-S05,68,Haut-Rhin,65 ans ou plus,134.77088949,0.0,813.00813008,44,Grand Est
2021-02-08,2021-S06,68,Haut-Rhin,00-14 ans,1001.4306152,1010.1010101,301.20481928,44,Grand Est
2021-02-08,2021-S06,68,Haut-Rhin,15-64 ans,1090.4425914,1140.6844106,688.0733945,44,Grand Est
2021-02-15,2021-S07,68,Haut-Rhin,00-14 ans,1147.9591837,892.85714286,1194.0298507,44,Grand Est
2021-03-08,2021-S10,68,Haut-Rhin,Tous âges,712.43523316,524.24639581,2019.0023753,44,Grand Est
2021-03-29,2021-S13,68,Haut-Rhin,15-64 ans,1656.5433462,1449.2753623,3992.3954373,44,Grand Est
2021-03-29,2021-S13,68,Haut-Rhin,Tous âges,1288.0241162,763.35877863,4360.4651163,44,Grand Est
2021-04-05,2021-S14,68,Haut-Rhin,00-14 ans,1125.0,840.33613445,1910.8280255,44,Grand Est
2021-04-05,2021-S14,68,Haut-Rhin,15-64 ans,1322.1153846,724.63768116,2510.460251,44,Grand Est
2021-04-05,2021-S14,68,Haut-Rhin,Tous âges,984.61538462,392.15686275,2069.7167756,44,Grand Est
2021-07-05,2021-S27,68,Haut-Rhin,00-14 ans,2456.1403509,0.0,877.19298246,44,Grand Est
2021-07-05,2021-S27,68,Haut-Rhin,65 ans ou plus,503.14465409,0.0,943.39622642,44,Grand Est
2021-07-12,2021-S28,68,Haut-Rhin,15-64 ans,832.46618106,0.0,858.36909871,44,Grand Est
2021-07-12,2021-S28,68,Haut-Rhin,65 ans ou plus,477.89725209,0.0,813.00813008,44,Grand Est
2021-07-19,2021-S29,68,Haut-Rhin,65 ans ou plus,335.5704698,289.85507246,0.0,44,Grand Est
2021-07-26,2021-S30,68,Haut-Rhin,00-14 ans,1545.7788347,0.0,1604.2780749,44,Grand Est
2021-07-26,2021-S30,68,Haut-Rhin,Tous âges,1206.171108,564.17489422,1302.4602026,44,Grand Est
2021-08-02,2021-S31,68,Haut-Rhin,15-64 ans,1327.7006639,454.54545455,1982.3788546,44,Grand Est
2021-08-09,2021-S32,68,Haut-Rhin,00-14 ans,2037.6175549,3750.0,1492.5373134,44,Grand Est
2021-08-09,2021-S32,68,Haut-Rhin,15-64 ans,766.2835249,800.0,1843.3179724,44,Grand Est
2021-08-09,2021-S32,68,Haut-Rhin,65 ans ou plus,793.65079365,574.71264368,0.0,44,Grand Est
2021-08-09,2021-S32,68,Haut-Rhin,Tous âges,1015.8350762,1032.4483776,1406.4697609,44,Grand Est
2021-08-16,2021-S33,68,Haut-Rhin,65 ans ou plus,363.63636364,307.69230769,0.0,44,Grand Est
2021-08-23,2021-S34,68,Haut-Rhin,00-14 ans,1771.1171662,1739.1304348,684.93150685,44,Grand Est
2021-08-23,2021-S34,68,Haut-Rhin,15-64 ans,1443.0785676,1438.8489209,1369.8630137,44,Grand Est
2021-08-30,2021-S35,68,Haut-Rhin,00-14 ans,1459.8540146,1438.8489209,4697.9865772,44,Grand Est
2021-08-30,2021-S35,68,Haut-Rhin,15-64 ans,1050.9721492,706.71378092,1310.0436681,44,Grand Est
2021-09-06,2021-S36,68,Haut-Rhin,15-64 ans,794.49152542,400.0,646.55172414,44,Grand Est
2021-09-06,2021-S36,68,Haut-Rhin,65 ans ou plus,117.09601874,294.11764706,0.0,44,Grand Est
2021-09-06,2021-S36,68,Haut-Rhin,Tous âges,684.36901177,420.75736325,729.9270073,44,Grand Est
2021-09-13,2021-S37,68,Haut-Rhin,00-14 ans,1374.2071882,1652.892562,1509.4339623,44,Grand Est
2021-12-06,2021-S49,68,Haut-Rhin,00-14 ans,1529.0519878,877.19298246,2011.4942529,44,Grand Est
2021-12-06,2021-S49,68,Haut-Rhin,65 ans ou plus,233.64485981,0.0,0.0,44,Grand Est
2021-12-13,2021-S50,68,Haut-Rhin,65 ans ou plus,359.71223022,242.13075061,0.0,44,Grand Est
2021-12-13,2021-S50,68,Haut-Rhin,Tous âges,314.46540881,116.68611435,846.56084656,44,Grand Est
2021-12-20,2021-S51,68,Haut-Rhin,00-14 ans,943.39622642,0.0,1657.4585635,44,Grand Est
2021-12-20,2021-S51,68,Haut-Rhin,15-64 ans,876.0951189,735.29411765,365.63071298,44,Grand Est
2021-12-20,2021-S51,68,Haut-Rhin,65 ans ou plus,534.18803419,230.41474654,1960.7843137,44,Grand Est
2021-12-27,2021-S52,68,Haut-Rhin,15-64 ans,283.28611898,615.38461538,376.64783427,44,Grand Est
2022-01-03,2022-S01,68,Haut-Rhin,Tous âges,828.08877112,123.00123001,1118.5682327,44,Grand Est
2022-01-10,2022-S02,68,Haut-Rhin,15-64 ans,905.92334495,806.4516129,1229.5081967,44,Grand Est
2022-01-24,2022-S04,68,Haut-Rhin,15-64 ans,754.24261471,392.15686275,732.6007326,44,Grand Est
2022-01-24,2022-S04,68,Haut-Rhin,65 ans ou plus,357.99522673,246.91358025,0.0,44,Grand Est
2022-01-24,2022-S04,68,Haut-Rhin,Tous âges,765.22803796,504.41361917,783.87458007,44,Grand Est
2022-01-31,2022-S05,68,Haut-Rhin,15-64 ans,1315.7894737,1162.7906977,1012.145749,44,Grand Est
2022-02-07,2022-S06,68,Haut-Rhin,00-14 ans,882.72383354,0.0,462.96296296,44,Grand Est
2022-02-07,2022-S06,68,Haut-Rhin,15-64 ans,573.39449541,732.6007326,1995.5654102,44,Grand Est
2022-02-14,2022-S07,68,Haut-Rhin,65 ans ou plus,421.05263158,476.19047619,847.45762712,44,Grand Est
2022-02-14,2022-S07,68,Haut-Rhin,Tous âges,561.79775281,607.53341434,1715.6862745,44,Grand Est
2022-04-04,2022-S14,68,Haut-Rhin,65 ans ou plus,200.4008016,433.83947939,0.0,44,Grand Est
2022-04-11,2022-S15,68,Haut-Rhin,00-14 ans,1072.1247563,769.23076923,1558.4415584,44,Grand Est
2022-04-11,2022-S15,68,Haut-Rhin,15-64 ans,1052.6315789,342.46575342,1096.8921389,44,Grand Est
2022-04-11,2022-S15,68,Haut-Rhin,Tous âges,856.63895188,221.23893805,1098.9010989,44,Grand Est
2022-04-18,2022-S16,68,Haut-Rhin,00-14 ans,1289.5662368,1904.7619048,1694.9152542,44,Grand Est
2022-04-18,2022-S16,68,Haut-Rhin,65 ans ou plus,300.90270812,0.0,0.0,44,Grand Est
2022-04-18,2022-S16,68,Haut-Rhin,Tous âges,981.6927567,380.22813688,1867.4136321,44,Grand Est
2022-04-25,2022-S17,68,Haut-Rhin,Tous âges,791.18395027,123.30456227,1457.3991031,44,Grand Est
2022-05-02,2022-S18,68,Haut-Rhin,15-64 ans,858.36909871,354.60992908,1871.1018711,44,Grand Est
2022-05-02,2022-S18,68,Haut-Rhin,65 ans ou plus,0.0,0.0,0.0,44,Grand Est
2022-05-09,2022-S19,68,Haut-Rhin,15-64 ans,887.2651357,727.27272727,2605.2104208,44,Grand Est
2022-05-16,2022-S20,68,Haut-Rhin,15-64 ans,1700.6802721,1041.6666667,6007.0671378,44,Grand Est
2020-01-13,2020-S03,68,Haut-Rhin,15-64 ans,899.28057554,2040.8163265,525.39404553,44,Grand Est
