1er jour de la semaine,Semaine,Département Code,Département,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme,Région Code,Région
2022-08-22,2022-S34,68,Haut-Rhin,00-14 ans,776.39751553,3703.7037037,1530.6122449,44,Grand Est
2022-08-22,2022-S34,68,Haut-Rhin,15-64 ans,328.58707558,1038.0622837,785.8546169,44,Grand Est
2022-08-29,2022-S35,68,Haut-Rhin,15-64 ans,384.19319429,636.94267516,1492.5373134,44,Grand Est
2022-08-29,2022-S35,68,Haut-Rhin,65 ans ou plus,0.0,0.0,900.9009009,44,Grand Est
2022-08-29,2022-S35,68,Haut-Rhin,Tous âges,438.21209465,599.52038369,1847.5750577,44,Grand Est
2022-09-26,2022-S39,68,Haut-Rhin,00-14 ans,3350.7853403,12500.0,1876.6756032,44,Grand Est
2022-09-26,2022-S39,68,Haut-Rhin,Tous âges,1206.4710721,1911.5890084,1263.3624879,44,Grand Est
2022-10-03,2022-S40,68,Haut-Rhin,15-64 ans,606.39470783,1223.2415902,766.2835249,44,Grand Est
2022-10-10,2022-S41,68,Haut-Rhin,65 ans ou plus,201.00502513,236.40661939,2020.2020202,44,Grand Est
2022-10-17,2022-S42,68,Haut-Rhin,00-14 ans,3717.8265014,14074.074074,1609.1954023,44,Grand Est
2022-10-17,2022-S42,68,Haut-Rhin,15-64 ans,698.54916711,1075.2688172,1425.6619145,44,Grand Est
2022-10-17,2022-S42,68,Haut-Rhin,Tous âges,1328.5641288,2447.163515,1656.920078,44,Grand Est
2022-10-24,2022-S43,68,Haut-Rhin,00-14 ans,3869.3035254,10869.565217,3069.0537084,44,Grand Est
2022-10-24,2022-S43,68,Haut-Rhin,Tous âges,1452.1782674,2122.6415094,1550.3875969,44,Grand Est
2022-10-31,2022-S44,68,Haut-Rhin,15-64 ans,421.27435492,709.21985816,889.6797153,44,Grand Est
2022-10-31,2022-S44,68,Haut-Rhin,65 ans ou plus,104.38413361,243.90243902,0.0,44,Grand Est
2023-01-23,2023-S04,68,Haut-Rhin,15-64 ans,841.75084175,746.26865672,790.51383399,44,Grand Est
2023-01-30,2023-S05,68,Haut-Rhin,00-14 ans,3037.12036,9756.097561,625.0,44,Grand Est
2023-02-06,2023-S06,68,Haut-Rhin,00-14 ans,1980.1980198,6086.9565217,1694.9152542,44,Grand Est
2023-02-06,2023-S06,68,Haut-Rhin,15-64 ans,393.92234102,754.71698113,1476.0147601,44,Grand Est
2023-02-06,2023-S06,68,Haut-Rhin,65 ans ou plus,327.15376227,234.19203747,2127.6595745,44,Grand Est
2023-02-06,2023-S06,68,Haut-Rhin,Tous âges,777.1301693,1239.157373,1616.1616162,44,Grand Est
2023-02-13,2023-S07,68,Haut-Rhin,00-14 ans,1189.1891892,5660.3773585,751.87969925,44,Grand Est
2023-02-20,2023-S08,68,Haut-Rhin,00-14 ans,1836.9690011,3937.007874,1067.6156584,44,Grand Est
2023-02-27,2023-S09,68,Haut-Rhin,15-64 ans,482.05677558,1320.1320132,1584.5070423,44,Grand Est
2023-02-27,2023-S09,68,Haut-Rhin,Tous âges,541.41851651,842.35860409,1257.8616352,44,Grand Est
2023-03-06,2023-S10,68,Haut-Rhin,00-14 ans,1511.627907,6557.3770492,1567.3981191,44,Grand Est
2023-03-06,2023-S10,68,Haut-Rhin,65 ans ou plus,0.0,0.0,2521.0084034,44,Grand Est
