dept,annee_mois,taux_urgences_allergie,taux_hosp_allergie,taux_sos_allergie,taux_urgences_asthme,taux_hosp_asthme,taux_sos_asthme,taux_urgences_bronchiolite,taux_hosp_bronchiolite,taux_sos_bronchiolite,annee,mois,trimestre,semestre,sin_mois,cos_mois,est_hiver,est_printemps,est_ete,est_automne,saison_pollen,flag_covid,temp_moy,temp_min,temp_max,humidite_moy,vent_moy,precip_moy,pop_totale,part_seniors,part_jeunes,tx_urbain,densite_med_gen,densite_spe,tx_agriculteurs,tx_artisans,tx_cadres,tx_prof_interm,tx_employes,tx_ouvriers,tx_autres,no_moy,no2_moy,o3_moy,pm10_moy,pm25_moy,so2_moy,nb_jours_pm10_eleve,pollen_platane_moy,pollen_ambrosia_moy,pollen_urticacees_moy,pollen_betula_moy,pollen_artemisia_moy,pollen_alnus_moy,pollen_graminees_moy,pollen_global_max,nb_jours_eleve
01,2020-01,815.39,245.12,,402.03,878.26,,23287.66,44861.11,,2020,1,1,1,0.5,0.866025,1,0,0,0,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-02,722.06,228.66,,462.67,437.93,,10169.56,25875.35,,2020,2,1,1,0.866025,0.5,1,0,0,0,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-03,377.48,193.97,,805.16,841.07,,9939.19,14230.77,,2020,3,1,1,1.0,0.0,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-04,500.03,98.04,,574.89,863.81,,0.0,0.0,,2020,4,2,1,0.866025,-0.5,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-05,568.77,311.94,,522.41,552.69,,0.0,0.0,,2020,5,2,1,0.5,-0.866025,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-06,796.83,585.61,,272.48,368.71,,2222.22,12500.0,,2020,6,2,1,0.0,-1.0,0,0,1,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-07,1211.83,323.65,,345.01,398.95,,2380.95,4166.67,,2020,7,3,2,-0.5,-0.866025,0,0,1,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,0.0,1.33,15.68,0.0,1.13,0.0,3.3,45.51,0.0
01,2020-08,1335.92,312.04,,343.45,514.11,,833.33,0.0,,2020,8,3,2,-0.866025,-0.5,0,0,1,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,0.0,8.99,17.08,0.0,1.74,0.0,2.89,63.13,1.0
01,2020-09,842.45,284.92,,381.14,627.62,,3010.88,9166.67,,2020,9,3,2,-1.0,-0.0,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,0.0,37.19,5.04,0.0,0.63,0.0,2.22,110.82,8.0
01,2020-10,652.28,300.14,,461.62,594.91,,3229.81,2777.78,,2020,10,4,2,-0.866025,0.5,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,0.0,1.71,0.52,0.0,0.08,0.0,0.94,9.75,0.0
01,2020-11,456.59,186.26,,375.71,559.28,,3961.72,6190.48,,2020,11,4,2,-0.5,0.866025,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2020-12,625.74,88.97,,508.08,858.88,,4744.36,6250.0,,2020,12,4,2,-0.0,1.0,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,,,,,,,,,,,,,,,,0.0
01,2021-01,398.48,97.28,,400.21,573.7,,2152.01,16666.67,,2021,1,1,1,0.5,0.866025,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,4.37,14.93,23.19,19.97,17.76,,0.0,,,,,,,,,0.0
01,2021-02,504.4,92.59,,343.15,433.69,,9477.63,19047.62,,2021,2,1,1,0.866025,0.5,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,19.01,20.92,19.75,6.86,5.42,,0.0,,,,,,,,,0.0
01,2021-03,594.06,394.53,,500.62,657.49,,13614.59,30833.33,,2021,3,1,1,1.0,0.0,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,5.29,21.84,38.95,16.24,9.62,,0.0,,,,,,,,,0.0
01,2021-04,763.92,81.43,,290.67,430.8,,15140.58,37916.67,,2021,4,2,1,0.866025,-0.5,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,13.01,24.05,59.54,39.18,16.51,,42.0,,,,,,,,,0.0
01,2021-05,810.0,429.62,,310.13,773.9,,5875.46,7857.14,,2021,5,2,1,0.5,-0.866025,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,1.43,9.67,66.0,18.93,11.98,,0.0,,,,,,,,,0.0
01,2021-06,848.5,158.73,,548.46,1075.55,,8025.95,24642.86,,2021,6,2,1,0.0,-1.0,0,0,1,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,1.92,11.52,81.97,13.79,6.71,,0.0,,,,,,,,,0.0
01,2021-07,767.05,151.87,,372.38,590.56,,14214.05,30587.12,,2021,7,3,2,-0.5,-0.866025,0,0,1,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,3.97,7.2,50.02,10.69,5.23,,0.0,0.09,0.84,111.37,0.0,1.35,0.0,22.42,210.59,16.0
01,2021-08,876.92,183.54,,406.51,456.86,,4202.38,12222.22,,2021,8,3,2,-0.866025,-0.5,0,0,1,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,1.71,4.68,60.39,9.39,3.31,,0.0,0.0,27.09,85.53,0.0,2.5,0.0,4.22,241.15,24.0
01,2021-09,672.72,79.87,,646.47,973.93,,7127.51,12738.1,,2021,9,3,2,-1.0,-0.0,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,3.42,10.0,61.01,17.94,11.04,,1.0,0.0,23.6,10.0,0.0,0.43,0.0,1.51,91.0,5.0
01,2021-10,606.95,100.4,,810.6,1179.46,,19848.95,46666.67,,2021,10,4,2,-0.866025,0.5,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,15.22,20.86,34.15,12.69,6.07,,0.0,,,,,,,,,0.0
01,2021-11,487.74,70.92,,617.1,799.09,,28008.81,46206.35,,2021,11,4,2,-0.5,0.866025,0,0,0,1,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,3.58,12.09,47.55,9.57,5.36,,0.0,,,,,,,,,0.0
01,2021-12,695.65,170.96,,636.89,670.81,,23158.46,43813.13,,2021,12,4,2,-0.0,1.0,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,5.78,12.18,50.82,4.24,3.87,,0.0,,,,,,,,,0.0
01,2022-01,451.25,0.0,,532.56,789.04,,7004.01,8444.44,,2022,1,1,1,0.5,0.866025,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,17.61,14.99,13.65,13.39,13.44,,0.0,,,,,,,,,
01,2022-02,510.39,298.7,,387.86,611.13,,7191.34,13541.67,,2022,2,1,1,0.866025,0.5,1,0,0,0,0,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,6.33,12.33,53.07,10.01,5.18,,0.0,,,,,,,,,
01,2022-03,548.68,364.11,,574.43,1248.96,,4678.59,13988.1,,2022,3,1,1,1.0,0.0,0,1,0,0,1,1,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,15.3,34.8,28.94,28.35,19.43,,8.0,,,,,,,,,
01,2022-04,695.98,197.46,,350.1,563.67,,6561.01,16071.43,,2022,4,2,1,0.866025,-0.5,0,1,0,0,1,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,5.01,16.26,46.47,15.03,12.38,,0.0,,,,,,,,,
01,2022-05,841.71,296.51,,551.21,657.96,,3365.94,2500.0,,2022,5,2,1,0.5,-0.866025,0,1,0,0,1,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,2.28,12.43,63.69,18.8,12.93,,0.0,,,,,,,,,
01,2022-06,882.21,270.75,,376.48,699.33,,2649.32,8125.0,,2022,6,2,1,0.0,-1.0,0,0,1,0,1,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,4.62,11.19,71.97,10.67,5.46,,0.0,,,,,,,,,
01,2022-07,1001.48,526.77,,377.61,599.56,,1105.77,0.0,,2022,7,3,2,-0.5,-0.866025,0,0,1,0,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,4.75,9.38,54.78,10.12,3.59,,0.0,,,,,,,,,
01,2022-08,951.46,795.61,,289.95,361.76,,740.74,5000.0,,2022,8,3,2,-0.866025,-0.5,0,0,1,0,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,3.44,7.72,38.3,7.77,3.88,,0.0,,,,,,,,,
01,2022-09,593.36,73.53,,823.07,1554.09,,1033.67,8750.0,,2022,9,3,2,-1.0,-0.0,0,0,0,1,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,2.33,11.68,73.66,15.75,8.19,,0.0,,,,,,,,,
01,2022-10,584.11,146.89,,560.87,853.28,,21019.25,37708.96,,2022,10,4,2,-0.866025,0.5,0,0,0,1,0,0,,,,,,,1264530,0.1007,0.0914,67.0,5.88,0.11,0.009000000000000001,0.065,0.163,0.271,0.253,0.23199999999999998,0.006999999999999999,4.14,9.29,49.2,8.37,3.89,,0.0,,,,,,,,,
